分区,柱ID,尺寸,critical
P1,WF-1C33,1500Ø,0
P1,WF-1C34,1500Ø,0
P1,WF-1C38,1500Ø,0
P1,WF-1C39,1500Ø,0
P1,WF-1C43,1500Ø,0
P1,WF-1C44,1500Ø,0
P2,WF-1C35,2200Ø,1
P2,WF-1C36,2200Ø,1
P2,WF-1C40,2200Ø,1
P2,WF-1C41,2200Ø,1
P2,WF-1C45,2200Ø,1
P2,WF-1C46,2200Ø,1
P3-1,WF-1C49,1500Ø,0
P3-2,WF-1C50,2200Ø,1
P3-2,WF-1C51,2200Ø,1
P3-2,WF-1C52,2200Ø,1
P4-1,WF-1C56,2200Ø,1
P4-2,WF-1C57,2200Ø,1
P4-2,WF-1C58,2200Ø,1
P5-1,WF-1C63,1500Ø,0
P5-2,WF-1C64,1500Ø,0
P5-2,WF-1C65,2200Ø,1
P6-1,WF-1C71,1500Ø,0
P6-2,WF-1C72,1500Ø,0
P6-2,WF-1C73,2200Ø,1
P7-1,WF-1C78,1500Ø,0
P7-1,WF-1C79,1500Ø,0
P7-2,WF-1C80,2200Ø,1
P8-1,WF-1C88,1500Ø,0
P8-2,WF-1C89,2200Ø,1
P9-1,WF-1C96,1500Ø,0
P9-1,WF-1C97,1500Ø,0
P9-2,WF-1C98,2200Ø,1
P10,WF-1C81,2200Ø,1
P10,WF-1C90,2200Ø,1
P10,WF-1C91,2200Ø,1
P10,WF-1C92,2200Ø,1
P10,WF-1C99,2200Ø,1
P10,WF-1C100,2200Ø,1
P11,WF-1C59,2200Ø,1
P11,WF-1C60,1200x3000,0
P11,WF-1C66,2200Ø,1
P11,WF-1C67,1200x3000,1
P11,WF-1C74,1200x3000,1
P11,WF-1C82,2200Ø,1
P11,WF-1C83,1200x3000,1
P12,WF-1C55,1500Ø,0
P12,WF-1C62,,0
P12,WF-1C70,1500Ø,0
P13,WF-1C30,1500Ø,1
P13,WF-1C31,1500Ø,0
P13,WF-1C53,2200Ø,0
P14,WF-1C23,1500Ø,0
P14,WF-1C24,1500Ø,0
P14,WF-1C25,1500Ø,0
P14,WF-1C27,1500Ø,0
P14,WF-1C28,1500Ø,0
P13,WF-B2C53,2200Ø,1
