楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
L5,L5|4.2,slab,Slab,Apr'27,301,,2027-04-08,2027-05-19
L5,L5|4.2,slab,Slab,May'27,248,,2027-04-08,2027-05-19
L5,L5|4.2T,slab,Slab,Dec'26,129,,2026-12-04,2027-02-11
L5,L5|4.2T,slab,Slab,Feb'27,51,,2026-12-04,2027-02-11
L5,L5|4.2T,slab,Slab,Jan'27,143,,2026-12-04,2027-02-11
L5,L5|4.3,slab,Slab,Apr'27,581,,2027-03-22,2027-05-28
L5,L5|4.3,slab,Slab,Mar'27,194,,2027-03-22,2027-05-28
L5,L5|4.3,slab,Slab,May'27,542,,2027-03-22,2027-05-28
L5,L5|4.4,slab,Slab,Apr'27,26,,2027-04-30,2027-05-28
L5,L5|4.4,slab,Slab,May'27,724,,2027-04-30,2027-05-28
L5,L5|4.1,col,Column,Dec'26,3,,2026-12-22,2026-12-30
L5,L5|4.1,act_colcorbel,Column Corbel,Dec'26,1,,2026-12-31,2027-01-04
L5,L5|4.1,mbeam,Steel Main Beam,Jan'27,9,,2027-01-05,2027-01-13
L5,L5|4.1,cbeam,Cast Steel Main Beam,Jan'27,2,,2027-01-14,2027-01-22
L5,L5|4.1,act_colcorbel,Column Corbel,Jan'27,2,,2026-12-31,2027-01-04
L5,L5|4.1,act_corewall,Core Wall,May'27,1,,2027-04-16,2027-05-27
L5,L5|4.1CIS,slab,Slab,Feb'27,412,,2027-01-25,2027-03-05
L5,L5|4.1CIS,slab,Slab,Jan'27,103,,2027-01-25,2027-03-05
L5,L5|4.1CIS,slab,Slab,Mar'27,74,,2027-01-25,2027-03-05
L5,L5|4.1CIST,act_corewall,Core Wall,Apr'27,0,,2027-02-22,2027-04-13
L5,L5|4.1CIST,slab,Slab,Apr'27,545,,2027-03-19,2027-05-27
L5,L5|4.1CIST,col,Column,Feb'27,7,,2027-02-08,2027-02-25
L5,L5|4.1CIST,act_colcorbel,Column Corbel,Feb'27,4,,2027-02-26,2027-03-02
L5,L5|4.1CIST,ls,Lift/Stair Wall,Feb'27,1,,2027-02-22,2027-04-02
L5,L5|4.1CIST,mbeam,Steel Main Beam,Mar'27,44,,2027-03-03,2027-03-09
L5,L5|4.1CIST,cbeam,Cast Steel Main Beam,Mar'27,24,,2027-03-10,2027-03-18
L5,L5|4.1CIST,act_colcorbel,Column Corbel,Mar'27,3,,2027-02-26,2027-03-02
L5,L5|4.1CIST,act_corewall,Core Wall,Mar'27,1,,2027-02-22,2027-04-02
L5,L5|4.1CIST,ls,Lift/Stair Wall,Mar'27,4,,2027-02-22,2027-04-02
L5,L5|4.1CIST,slab,Slab,Mar'27,236,,2027-03-19,2027-05-27
L5,L5|4.1CIST,slab,Slab,May'27,491,,2027-03-19,2027-05-27
L5,L5|4.2,col,Column,Jan'27,3,,2027-01-01,2027-01-11
L5,L5|4.2,mbeam,Steel Main Beam,Jan'27,22,,2027-01-15,2027-01-19
L5,L5|4.2,cbeam,Cast Steel Main Beam,Jan'27,5,,2027-01-20,2027-01-28
L5,L5|4.2,act_colcorbel,Column Corbel,Jan'27,3,,2027-01-12,2027-01-14
L5,L5|4.2T,cbeam,Cast Steel Main Beam,Dec'26,1,,2026-11-25,2026-12-03
L5,L5|4.2T,col,Column,Nov'26,3,,2026-11-09,2026-11-17
L5,L5|4.2T,mbeam,Steel Main Beam,Nov'26,21,,2026-11-23,2026-11-25
L5,L5|4.2T,cbeam,Cast Steel Main Beam,Nov'26,2,,2026-11-25,2026-12-03
L5,L5|4.2T,act_colcorbel,Column Corbel,Nov'26,3,,2026-11-18,2026-11-20
L5,L5|4.3CIST,ls,Lift/Stair Wall,Apr'27,1,,2027-03-04,2027-04-14
L5,L5|4.3CIST,col,Column,Feb'27,3,,2027-02-18,2027-02-26
L5,L5|4.3CIST,mbeam,Steel Main Beam,Mar'27,17,,2027-03-04,2027-03-10
L5,L5|4.3CIST,cbeam,Cast Steel Main Beam,Mar'27,8,,2027-03-11,2027-03-19
L5,L5|4.3CIST,act_colcorbel,Column Corbel,Mar'27,3,,2027-03-01,2027-03-03
L5,L5|4.3CIST,ls,Lift/Stair Wall,Mar'27,2,,2027-03-04,2027-04-14
L5,L5|4.3T,col,Column,Feb'27,7,,2027-02-09,2027-02-26
L5,L5|4.3T,act_colcorbel,Column Corbel,Mar'27,7,,2027-03-01,2027-03-03
L5,L5|4.4,col,Column,Apr'27,2,,2027-03-22,2027-04-08
L5,L5|4.4,mbeam,Steel Main Beam,Apr'27,40,,2027-04-14,2027-04-20
L5,L5|4.4,cbeam,Cast Steel Main Beam,Apr'27,8,,2027-04-21,2027-04-29
L5,L5|4.4,act_colcorbel,Column Corbel,Apr'27,5,,2027-04-09,2027-04-13
